rama_scian,nombre_rama,subsector_scian,nombre_subsector_inpp,id_serie_inpp,periodo_inpp,criterio,observaciones
3162,Fabricación de calzado,316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",1370017,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3169,"Fabricación de otros productos de cuero, piel y materiales sucedáneos",316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",1370017,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3211,Aserrado y conservación de la madera,321,Industria de la madera,1770001,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3212,Fabricación de laminados y aglutinados de madera,321,Industria de la madera,1770001,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3219,Fabricación de otros productos de madera,321,Industria de la madera,1770001,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3221,"Fabricación de pulpa, papel y cartón",322,Industria del papel,1370019,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3222,Fabricación de productos de cartón y papel,322,Industria del papel,1370019,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3231,Impresión e industrias conexas,323,Impresión e industrias conexas,1370020,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3241,Fabricación de productos derivados del petróleo y del carbón,324,Fabricación de productos derivados del petróleo y del carbón,1370021,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),"Precios de derivados del petróleo, muy volátiles."
3251,Fabricación de productos químicos básicos,325,Industria química,1770002,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3252,"Fabricación de resinas y hules sintéticos, y fibras químicas",325,Industria química,1770002,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3253,"Fabricación de fertilizantes, pesticidas y otros agroquímicos",325,Industria química,1770002,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3254,Fabricación de productos farmacéuticos,325,Industria química,1770002,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3255,"Fabricación de pinturas, recubrimientos y adhesivos",325,Industria química,1770002,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3256,"Fabricación de jabones, limpiadores y preparaciones de tocador",325,Industria química,1770002,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3259,Fabricación de otros productos químicos,325,Industria química,1770002,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3261,Fabricación de productos de plástico,326,Industria del plástico y del hule,1770003,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3262,Fabricación de productos de hule,326,Industria del plástico y del hule,1770003,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3271,Fabricación de productos a base de arcillas y minerales refractarios,327,Fabricación de productos a base de minerales no metálicos,1770004,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3272,Fabricación de vidrio y productos de vidrio,327,Fabricación de productos a base de minerales no metálicos,1770004,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3273,Fabricación de cemento y productos de concreto,327,Fabricación de productos a base de minerales no metálicos,1770004,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3274,"Fabricación de cal, yeso y productos de yeso",327,Fabricación de productos a base de minerales no metálicos,1770004,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3279,Fabricación de otros productos a base de minerales no metálicos,327,Fabricación de productos a base de minerales no metálicos,1770004,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3311,Industria básica del hierro y del acero,331,Industrias metálicas básicas,1770005,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3312,Fabricación de productos de hierro y acero,331,Industrias metálicas básicas,1770005,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3313,Industria básica del aluminio,331,Industrias metálicas básicas,1770005,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3314,"Industrias de metales no ferrosos, excepto aluminio",331,Industrias metálicas básicas,1770005,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3315,Moldeo por fundición de piezas metálicas,331,Industrias metálicas básicas,1770005,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3321,Fabricación de productos metálicos forjados y troquelados,332,Fabricación de productos metálicos,1770006,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3322,Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,332,Fabricación de productos metálicos,1770006,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3323,Fabricación de estructuras metálicas y productos de herrería,332,Fabricación de productos metálicos,1770006,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3324,"Fabricación de calderas, tanques y envases metálicos",332,Fabricación de productos metálicos,1770006,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3325,Fabricación de herrajes y cerraduras,332,Fabricación de productos metálicos,1770006,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3326,"Fabricación de alambre, productos de alambre y resortes",332,Fabricación de productos metálicos,1770006,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3327,Maquinado de piezas y fabricación de tornillos,332,Fabricación de productos metálicos,1770006,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3328,Recubrimientos y terminados metálicos,332,Fabricación de productos metálicos,1770006,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3329,Fabricación de otros productos metálicos,332,Fabricación de productos metálicos,1770006,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3331,"Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva",333,Fabricación de maquinaria y equipo,1770007,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3332,"Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",333,Fabricación de maquinaria y equipo,1770007,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3333,Fabricación de maquinaria y equipo para el comercio y los servicios,333,Fabricación de maquinaria y equipo,1770007,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3334,"Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",333,Fabricación de maquinaria y equipo,1770007,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3335,Fabricación de maquinaria y equipo para la industria metalmecánica,333,Fabricación de maquinaria y equipo,1770007,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3336,"Fabricación de motores de combustión interna, turbinas y transmisiones",333,Fabricación de maquinaria y equipo,1770007,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3339,Fabricación de otra maquinaria y equipo para la industria en general,333,Fabricación de maquinaria y equipo,1770007,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3341,Fabricación de computadoras y equipo periférico,334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",1770008,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3342,Fabricación de equipo de comunicación,334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",1770008,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3343,Fabricación de equipo de audio y de video,334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",1770008,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3344,Fabricación de componentes electrónicos,334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",1770008,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3345,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",1770008,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3346,Fabricación y reproducción de medios magnéticos y ópticos,334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",1770008,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3351,Fabricación de accesorios de iluminación,335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",1770009,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3352,Fabricación de aparatos eléctricos de uso doméstico,335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",1770009,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3353,Fabricación de equipo de generación y distribución de energía eléctrica,335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",1770009,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3359,Fabricación de otros equipos y accesorios eléctricos,335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",1770009,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3361,Fabricación de automóviles y camiones,336,Fabricación de equipo de transporte,1770010,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),"Mismo deflactor para vehículos (3361), carrocerías (3362), autopartes (3363) y resto del equipo de transporte."
3362,Fabricación de carrocerías y remolques,336,Fabricación de equipo de transporte,1770010,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),"Mismo deflactor para vehículos (3361), carrocerías (3362), autopartes (3363) y resto del equipo de transporte."
3363,Fabricación de partes para vehículos automotores,336,Fabricación de equipo de transporte,1770010,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),"Mismo deflactor para vehículos (3361), carrocerías (3362), autopartes (3363) y resto del equipo de transporte."
3364,Fabricación de equipo aeroespacial,336,Fabricación de equipo de transporte,1770010,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),"Mismo deflactor para vehículos (3361), carrocerías (3362), autopartes (3363) y resto del equipo de transporte."
3365,Fabricación de equipo ferroviario,336,Fabricación de equipo de transporte,1770010,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),"Mismo deflactor para vehículos (3361), carrocerías (3362), autopartes (3363) y resto del equipo de transporte."
3366,Fabricación de embarcaciones,336,Fabricación de equipo de transporte,1770010,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),"Mismo deflactor para vehículos (3361), carrocerías (3362), autopartes (3363) y resto del equipo de transporte."
3369,Fabricación de otro equipo de transporte,336,Fabricación de equipo de transporte,1770010,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),"Mismo deflactor para vehículos (3361), carrocerías (3362), autopartes (3363) y resto del equipo de transporte."
3371,"Fabricación de muebles, excepto de oficina y estantería",337,"Fabricación de muebles, colchones y persianas",1370031,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3372,Fabricación de muebles de oficina y estantería,337,"Fabricación de muebles, colchones y persianas",1370031,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3379,"Fabricación de colchones, persianas y cortineros",337,"Fabricación de muebles, colchones y persianas",1370031,Jun 2010-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3391,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",339,Otras industrias manufactureras,1770011,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
3399,Otras industrias manufactureras,339,Otras industrias manufactureras,1770011,Ene 1981-Ago 2026,Subsector SCIAN al que pertenece la rama (mayor detalle disponible en el INPP),
